Mach Number,CD
0.1112243,0.4801934
0.10824,0.48058
0.1052609,0.4809677
0.1022868,0.4813557
0.09931766,0.4817433
0.09635331,0.4821296
0.09339357,0.4825135
0.09043831,0.4828936
0.0874874,0.4832684
0.08454068,0.4836359
0.08159801,0.483994
0.07865923,0.48434
0.07572421,0.4846705
0.07279283,0.4849816
0.06986493,0.4852686
0.06694036,0.4855256
0.06401899,0.4857454
0.06110068,0.4859193
0.0581853,0.4860362
0.0552727,0.4860823
0.05236275,0.4860402
0.0494553,0.4858879
0.04655023,0.4855967
0.04364738,0.4851295
0.04074664,0.484437
0.03784784,0.4834532
0.03495087,0.4820876
0.03205558,0.4802144
0.02916183,0.4776537
0.02626948,0.4741414
0.0233784,0.4692769
0.02048844,0.4624294
0.01759945,0.4525615
0.01471131,0.4378923
0.01182386,0.4153543
0.01,0.4147116
0.01,0.4147131
0.01,0.4147139
0.01,0.4147143
0.01,0.414714
0.01,0.4147132
0.01,0.4147118
0.01155411,0.409739
0.0144389,0.4342543
0.01732292,0.4501449
0.02020599,0.460763
0.02308797,0.4680912
0.02596869,0.4732772
0.028848,0.4770127
0.03172573,0.4797335
0.03460173,0.4817249
0.03747585,0.4831801
0.04034794,0.4842338
0.04321785,0.4849819
0.04608541,0.4854946
0.04895048,0.4858239
0.05181292,0.4860089
0.05467258,0.4860797
0.05752932,0.4860595
0.06038296,0.4859664
0.06323339,0.4858148
0.06608045,0.4856163
0.068924,0.4853798
0.0717639,0.485113
0.07460001,0.4848218
0.07743218,0.4845113
0.08026025,0.4841853
0.08308414,0.4838475
0.08590364,0.4835005
0.08871866,0.4831466
0.09152906,0.4827878
0.09433468,0.4824256
0.0971354,0.4820615
0.09993109,0.4816966
0.1027216,0.4813318
0.1055068,0.4809679
0.1082866,0.4806055
0.1110608,0.4802453
0.1138294,0.4798877
0.1165921,0.4795331
0.1193488,0.4791818
0.1220995,0.478834
0.124844,0.4784901
0.1275821,0.4781501
0.1303138,0.4778142
0.1330389,0.4774826
0.1357573,0.4771553
0.1384689,0.4768323
0.1411735,0.4765138
0.1438711,0.4761997
0.1465615,0.4758901
0.1492447,0.4755849
0.1519203,0.4752842
0.1545886,0.474988
0.1572491,0.4746962
0.1599019,0.4744088
0.1625468,0.4741257
0.1651838,0.473847
0.1678126,0.4735726
